state,city,latitude_x,longitude_x,case_counts_x,rank_cluster
ct,Andover,41.737321200000004,-72.37035999999999,0,8.0
ct,Ashford,41.8731532,-72.1214653,0,8.0
ct,Bolton,41.7689878,-72.4334173,3,8.0
ct,Brooklyn,41.7881541,-71.94979570000001,3,8.0
ct,Canterbury,41.698431899999996,-71.9709075,6,8.0
ct,Columbia,41.702043200000006,-72.3011917,3,8.0
ct,Coventry,41.770098700000005,-72.3050803,6,8.0
ct,Eastford,41.902068,-72.0799095,0,8.0
ct,Hampton,41.7948205,-72.1272989,0,8.0
ct,Hebron,41.6578767,-72.36591609999999,3,8.0
ct,Killingly,41.8321295,-71.84966233,6,8.0
ct,Lebanon,41.6362097,-72.21257890000001,6,8.0
ct,Mansfield,41.775481400000004,-72.21481329999999,25,8.0
ct,Plainfield,41.6764876,-71.91507299999999,0,8.0
ct,Pomfret,41.8975977,-71.96257359999998,0,8.0
ct,Putnam,41.9153094,-71.9092563,0,8.0
ct,Scotland,41.698392,-72.08149159999999,0,8.0
ct,Stafford,41.98481829999999,-72.2889686,0,8.0
ct,Sterling,41.707599,-71.828682,0,8.0
ct,Thompson,41.9587089,-71.8625715,0,8.0
ct,Tolland,41.8700166,-72.36771529999999,1,8.0
ct,Union,41.9909296,-72.15729920000001,0,8.0
ct,Willington,41.874428,-72.2598935,10,8.0
ct,Windham,41.6999029,-72.1575772,21,8.0
ct,Ansonia,41.342992200000005,-73.0787468,5,3.0
ct,Beacon Falls,41.4428745,-73.062608,0,3.0
ct,Bethany,41.42176370000001,-72.9970496,5,3.0
ct,Branford,41.2795414,-72.81509890000001,3,3.0
ct,Derby,41.3223611,-73.08903240000001,3,3.0
ct,East Haven,41.2762081,-72.86843370000001,0,3.0
ct,Hamden,41.3959287,-72.89687159999998,0,3.0
ct,Milford,41.2222218,-73.0570603,3,3.0
ct,Monroe,41.332596200000005,-73.2073358,1,3.0
ct,Naugatuck,41.4860186,-73.0509432,4,3.0
ct,New Haven,41.3082138,-72.92505179999999,3,3.0
ct,North Haven,41.390930499999996,-72.859545,2,3.0
ct,Orange,41.2784304,-73.0256609,1,3.0
ct,Oxford,41.4351795,-73.11727690000001,1,3.0
ct,Seymour,41.394357799999995,-73.0741697,2,3.0
ct,Shelton,41.3164856,-73.0931641,6,3.0
ct,West Haven,41.2706527,-72.94704709999999,3,3.0
ct,Woodbridge,41.352596999999996,-73.0084385,2,3.0
ct,Avon,41.8098209,-72.8306541,8,5.0
ct,Barkhamsted,41.9292629,-72.9139904,0,5.0
ct,Bloomfield,41.826488,-72.73009449999999,5,5.0
ct,Burlington,41.7692648,-72.96454840000001,1,5.0
ct,Canton,41.8245424,-72.8937122,6,5.0
ct,East Granby,41.9412081,-72.7273158,6,5.0
ct,East Hartford,41.7823216,-72.61203459999999,6,5.0
ct,East Windsor,41.9156316,-72.6130726,1,5.0
ct,Ellington,41.90398629999999,-72.4698071,0,5.0
ct,Enfield,41.97893870000001,-72.57551090000001,2,5.0
ct,Farmington,41.7198216,-72.83204350000001,1,5.0
ct,Glastonbury,41.7123218,-72.60814599999999,2,5.0
ct,Granby,41.953985499999995,-72.7887071,5,5.0
ct,Hartford,41.764582,-72.6908547,8,5.0
ct,Harwinton,41.7712085,-73.05983,0,5.0
ct,Manchester,41.78126995,-72.53062934,7,5.0
ct,New Hartford,41.882318700000006,-72.9770488,4,5.0
ct,Simsbury,41.8759152,-72.80122109999999,2,5.0
ct,Somers,41.9853742,-72.4461952,0,5.0
ct,Suffield,41.981694399999995,-72.6506604,3,5.0
ct,Vernon,41.838292100000004,-72.46633309999999,4,5.0
ct,West Hartford,41.7629122,-72.75664456,3,5.0
ct,Wethersfield,41.7142665,-72.6525922,3,5.0
ct,Windsor,41.8525984,-72.64370219999999,5,5.0
ct,Windsor Locks,41.9281305,-72.643631,2,5.0
ct,Berlin,41.621488,-72.74565190000001,2,6.0
ct,Bristol,41.6735209,-72.9464859,3,6.0
ct,Cheshire,41.4989861,-72.90065799999999,4,6.0
ct,Cromwell,41.5949942,-72.6455665,2,6.0
ct,Durham,41.48176470000001,-72.6812059,4,6.0
ct,East Hampton,41.5744405,-72.49192364,1,6.0
ct,Marlborough,41.631488,-72.459808,0,6.0
ct,Meriden,41.5381535,-72.8070435,5,6.0
ct,Middlefield,41.516516100000004,-72.7120793,10,6.0
ct,Middletown,41.562317799999995,-72.6509061,2,6.0
ct,New Britain,41.6612104,-72.77954190000001,9,6.0
ct,Newington,41.6978777,-72.7237063,3,6.0
ct,Plainville,41.6711395,-72.8672429,3,6.0
ct,Plymouth,41.672041799999995,-73.0528853,4,6.0
ct,Portland,41.5728924,-72.6406905,5,6.0
ct,Prospect,41.5023192,-72.97871629999999,3,6.0
ct,Rocky Hill,41.6648216,-72.6392587,3,6.0
ct,Southington,41.6005435,-72.8782941,3,6.0
ct,Wallingford,41.45704179999999,-72.8231552,4,6.0
ct,Waterbury,41.5538091,-73.0438362,5,6.0
ct,Wolcott,41.6023196,-72.9867718,0,6.0
ct,Bethel,41.372643,-73.41266800000001,7,9.0
ct,Brookfield,41.48259470000001,-73.4095652,3,9.0
ct,Danbury,41.394816999999996,-73.45401109999999,14,9.0
ct,New Fairfield,41.466483200000006,-73.48567890000001,3,9.0
ct,Newtown,41.41347639999999,-73.3086445,4,9.0
ct,Redding,41.302595600000004,-73.3834532,0,9.0
ct,Ridgefield,41.2814842,-73.4981792,3,9.0
ct,Bethlehem,41.6393626,-73.2080798,0,10.0
ct,Bridgewater,41.5350949,-73.3662305,17,10.0
ct,Kent,41.724646,-73.4770859,21,10.0
ct,Litchfield,41.747319,-73.1887243,4,10.0
ct,Middlebury,41.5278742,-73.1276107,2,10.0
ct,Morris,41.6842633,-73.1962245,0,10.0
ct,New Milford,41.57709929999999,-73.41058029999999,5,10.0
ct,Roxbury,41.5568282,-73.3088922,20,10.0
ct,Sherman,41.5792607,-73.49567950000001,4,10.0
ct,Thomaston,41.6739862,-73.073164,2,10.0
ct,Warren,41.74287329999999,-73.3487304,0,10.0
ct,Washington,41.6314845,-73.31067309999999,0,10.0
ct,Watertown,41.6062078,-73.1181658,1,10.0
ct,Woodbury,41.544540399999995,-73.2090025,3,10.0
ct,Bozrah,41.55059620000001,-72.168238,0,2.0
ct,Colchester,41.579503,-72.34158125,2,2.0
ct,Franklin,41.608987299999995,-72.14591120000001,0,2.0
ct,Griswold,41.6035026,-71.9622443,2,2.0
ct,Groton,41.3506989,-72.0773654,2,2.0
ct,Ledyard,41.4386053,-72.0175193,5,2.0
ct,Lisbon,41.586685100000004,-72.0207809,3,2.0
ct,Montville,41.464981099999996,-72.1538184,4,2.0
ct,New London,41.3556187,-72.0997804,1,2.0
ct,Norwich,41.5242649,-72.07591049999999,6,2.0
ct,Preston,41.526802200000006,-71.982138,3,2.0
ct,Salem,41.4903761,-72.275359,0,2.0
ct,Sprague,41.6214071,-72.0663666,0,2.0
ct,Stonington,41.33593270000001,-71.9059042,1,2.0
ct,Voluntown,41.5706544,-71.87034969999999,6,2.0
ct,Waterford,41.358659,-72.15193670000001,2,2.0
ct,Bridgeport,41.1670412,-73.2048348,4,4.0
ct,Darien,41.0787079,-73.4692873,3,4.0
ct,Easton,41.252873799999996,-73.29733940000001,2,4.0
ct,Fairfield,41.1412078,-73.26372579999999,2,4.0
ct,Greenwich,41.0264862,-73.6284598,2,4.0
ct,New Canaan,41.146763,-73.4948446,3,4.0
ct,Stamford,41.0534302,-73.53873409999999,4,4.0
ct,Stratford,41.184541499999995,-73.1331651,3,4.0
ct,Trumbull,41.2428742,-73.20066870000001,5,4.0
ct,Weston,41.2021302,-73.3812743,1,4.0
ct,Westport,41.11118925,-73.34023668,4,4.0
ct,Wilton,41.1953739,-73.4378988,2,4.0
ct,Canaan,41.959478999999995,-73.31175711,0,1.0
ct,Colebrook,41.9895388,-73.09566459999999,0,1.0
ct,Cornwall,41.843705799999995,-73.3292848,0,1.0
ct,Goshen,41.8317624,-73.2251145,0,1.0
ct,Hartland,41.996206,-72.9795488,0,1.0
ct,Norfolk,41.9939828,-73.20205770000001,0,1.0
ct,North Canaan,42.021285,-73.29507211,4,1.0
ct,Salisbury,41.983426,-73.4212318,12,1.0
ct,Sharon,41.8792599,-73.4767897,0,1.0
ct,Torrington,41.800652299999996,-73.12122140000001,5,1.0
ct,Winchester,41.918742,-73.1045003,0,1.0
ct,Chester,41.4031547,-72.4509204,3,7.0
ct,Clinton,41.2756115,-72.52853198,10,7.0
ct,Deep River,41.3856546,-72.4356422,0,7.0
ct,East Lyme,41.3569909,-72.2258709,2,7.0
ct,Essex,41.353432,-72.3906406,2,7.0
ct,Guilford,41.2889866,-72.68176159999999,6,7.0
ct,Haddam,41.4773213,-72.5120333,3,7.0
ct,Killingworth,41.3581545,-72.56370229999999,4,7.0
ct,Lyme,41.3910989,-72.35115313,6,7.0
ct,Madison,41.2794282,-72.5983151,3,7.0
ct,Old Lyme,41.3159315,-72.3289715,2,7.0
ct,Old Saybrook,41.2917652,-72.37619559999999,0,7.0
ct,Westbrook,41.285377000000004,-72.4475874,6,7.0
